date,product,qty,sales,region
2025-03-06,Mouse,3,75,East
2025-03-06,Mouse,4,100,North
2025-03-06,Headphones,3,180,South
2025-03-06,Keyboard,2,80,South
2025-03-06,Mouse,2,50,North
2025-03-06,Mouse,2,50,West
2025-03-06,Keyboard,4,160,West
2025-03-06,Keyboard,2,80,South
2025-03-06,Headphones,4,240,South
2025-03-06,Keyboard,1,40,East
2025-03-06,Monitor,1,200,North
2025-03-06,Laptop,3,2400,South
2025-03-06,Laptop,4,3200,North
2025-03-06,Laptop,3,2400,East
2025-03-06,Monitor,4,800,East
2025-03-06,Laptop,2,1600,North
2025-03-06,Laptop,3,2400,South
2025-03-06,Keyboard,4,160,East
2025-03-06,Headphones,2,120,West
2025-03-06,Laptop,4,3200,North
2025-03-06,Monitor,1,200,South
2025-03-06,Keyboard,4,160,South
2025-03-06,Phone,3,1500,North
2025-03-06,Mouse,1,25,West
2025-03-07,Headphones,1,60,South
2025-03-07,Phone,4,2000,South
2025-03-07,Mouse,4,100,North
2025-03-07,Laptop,3,2400,South
2025-03-07,Phone,1,500,West
2025-03-07,Phone,4,2000,South
2025-03-07,Keyboard,3,120,East
2025-03-07,Headphones,1,60,East
2025-03-07,Monitor,4,800,North
2025-03-07,Keyboard,2,80,South
2025-03-07,Monitor,3,600,East
2025-03-07,Laptop,1,800,West
2025-03-07,Headphones,2,120,West
2025-03-07,Mouse,3,75,West
2025-03-07,Keyboard,3,120,West
2025-03-07,Headphones,2,120,East
2025-03-07,Headphones,4,240,West
2025-03-07,Keyboard,1,40,North
2025-03-07,Phone,4,2000,North
2025-03-07,Headphones,4,240,North
2025-03-07,Laptop,2,1600,East
2025-03-07,Monitor,2,400,East
2025-03-07,Keyboard,4,160,South
2025-03-07,Laptop,4,3200,West
2025-03-07,Laptop,2,1600,North
2025-03-07,Monitor,4,800,North
2025-03-07,Mouse,4,100,East
2025-03-07,Laptop,1,800,East
2025-03-07,Headphones,4,240,West
2025-03-07,Headphones,4,240,West
2025-03-07,Monitor,4,800,North
2025-03-07,Keyboard,3,120,North
2025-03-07,Keyboard,2,80,West
2025-03-07,Keyboard,2,80,East
2025-03-07,Monitor,1,200,East
2025-03-07,Laptop,1,800,South
2025-03-08,Phone,2,1000,South
2025-03-08,Headphones,4,240,North
2025-03-08,Laptop,4,3200,North
2025-03-08,Keyboard,1,40,South
2025-03-08,Mouse,4,100,West
2025-03-08,Headphones,1,60,West
2025-03-08,Laptop,4,3200,West
2025-03-08,Headphones,3,180,South
2025-03-08,Monitor,2,400,South
2025-03-08,Monitor,2,400,North
2025-03-08,Headphones,2,120,West
2025-03-08,Headphones,3,180,South
2025-03-08,Mouse,2,50,North
2025-03-08,Keyboard,3,120,West
2025-03-08,Laptop,1,800,West
2025-03-08,Mouse,4,100,East
2025-03-08,Keyboard,3,120,West
2025-03-08,Laptop,4,3200,North
2025-03-08,Keyboard,4,160,South
2025-03-08,Mouse,2,50,North
2025-03-08,Monitor,3,600,West
2025-03-08,Laptop,1,800,West
2025-03-08,Mouse,1,25,South
2025-03-08,Mouse,3,75,East
2025-03-08,Keyboard,1,40,West
2025-03-08,Mouse,1,25,West
2025-03-08,Laptop,4,3200,East
2025-03-08,Phone,1,500,South
2025-03-08,Monitor,2,400,East
2025-03-08,Monitor,4,800,South
2025-03-08,Monitor,3,600,South
2025-03-08,Headphones,2,120,South
2025-03-08,Phone,1,500,West
2025-03-09,Laptop,3,2400,South
2025-03-09,Mouse,2,50,East
2025-03-09,Phone,3,1500,South
2025-03-09,Laptop,4,3200,North
2025-03-09,Keyboard,2,80,East
2025-03-09,Laptop,4,3200,North
2025-03-09,Keyboard,1,40,West
2025-03-09,Monitor,4,800,South
2025-03-09,Keyboard,3,120,East
2025-03-09,Keyboard,2,80,South
2025-03-09,Monitor,3,600,North
2025-03-09,Phone,3,1500,South
2025-03-09,Mouse,2,50,South
2025-03-09,Phone,2,1000,North
2025-03-09,Keyboard,2,80,South
2025-03-09,Monitor,3,600,West
2025-03-09,Mouse,1,25,West
2025-03-09,Mouse,4,100,West
2025-03-09,Keyboard,1,40,East
2025-03-09,Keyboard,2,80,North
2025-03-10,Monitor,3,600,East
2025-03-10,Keyboard,4,160,North
2025-03-10,Phone,4,2000,South
2025-03-10,Monitor,3,600,North
2025-03-10,Headphones,4,240,South
2025-03-10,Phone,1,500,South
2025-03-10,Mouse,2,50,East
2025-03-10,Laptop,4,3200,North
2025-03-10,Laptop,2,1600,South
2025-03-10,Laptop,3,2400,South
2025-03-10,Monitor,2,400,West
2025-03-10,Laptop,4,3200,North
2025-03-10,Mouse,1,25,West
2025-03-10,Mouse,3,75,West
2025-03-10,Mouse,2,50,North
2025-03-10,Headphones,4,240,South
2025-03-10,Headphones,1,60,South
2025-03-10,Laptop,1,800,South
2025-03-10,Keyboard,1,40,East
2025-03-10,Laptop,2,1600,South
2025-03-10,Monitor,4,800,North
2025-03-10,Keyboard,4,160,South
2025-03-10,Phone,4,2000,North
2025-03-10,Keyboard,1,40,South
2025-03-10,Monitor,1,200,East
2025-03-10,Phone,2,1000,South
2025-03-10,Mouse,4,100,South
2025-03-10,Keyboard,3,120,South
2025-03-10,Phone,3,1500,South
2025-03-10,Laptop,4,3200,North
2025-03-10,Mouse,4,100,West
2025-03-10,Phone,1,500,West
2025-03-10,Headphones,4,240,West
2025-03-10,Keyboard,2,80,East
2025-03-10,Keyboard,1,40,North
2025-03-10,Mouse,3,75,East
2025-03-10,Mouse,4,100,East
2025-03-10,Laptop,1,800,West
2025-03-10,Phone,3,1500,West
2025-03-11,Keyboard,3,120,South
2025-03-11,Phone,1,500,East
2025-03-11,Phone,3,1500,East
2025-03-11,Laptop,2,1600,West
2025-03-11,Mouse,2,50,South
2025-03-11,Phone,2,1000,South
2025-03-11,Headphones,1,60,East
2025-03-11,Keyboard,2,80,North
2025-03-11,Phone,1,500,East
2025-03-11,Mouse,4,100,West
2025-03-11,Laptop,1,800,North
2025-03-11,Laptop,4,3200,South
2025-03-11,Mouse,1,25,West
2025-03-11,Headphones,1,60,East
2025-03-11,Keyboard,2,80,North
2025-03-11,Monitor,4,800,North
2025-03-11,Keyboard,1,40,East
2025-03-11,Mouse,3,75,North
2025-03-11,Headphones,1,60,South
2025-03-11,Laptop,1,800,South
2025-03-11,Keyboard,4,160,North
2025-03-11,Monitor,1,200,East
2025-03-11,Headphones,1,60,West
2025-03-11,Keyboard,1,40,North
2025-03-11,Headphones,4,240,North
2025-03-11,Keyboard,2,80,East
2025-03-11,Keyboard,3,120,South
2025-03-11,Mouse,1,25,East
2025-03-11,Keyboard,1,40,West
2025-03-11,Headphones,1,60,West
2025-03-11,Mouse,3,75,West
2025-03-11,Laptop,3,2400,North
2025-03-12,Phone,3,1500,South
2025-03-12,Phone,1,500,East
2025-03-12,Mouse,3,75,East
2025-03-12,Phone,3,1500,West
2025-03-12,Laptop,2,1600,South
2025-03-12,Keyboard,1,40,North
2025-03-12,Monitor,3,600,South
2025-03-12,Mouse,4,100,South
2025-03-12,Laptop,2,1600,East
2025-03-12,Phone,2,1000,North
2025-03-12,Mouse,1,25,South
2025-03-12,Headphones,4,240,West
2025-03-12,Mouse,1,25,South
2025-03-12,Keyboard,1,40,East
2025-03-12,Laptop,1,800,West
2025-03-12,Keyboard,2,80,West
2025-03-12,Headphones,1,60,West
2025-03-12,Monitor,3,600,East
2025-03-12,Phone,2,1000,East
2025-03-12,Monitor,3,600,North
2025-03-12,Mouse,2,50,West
2025-03-12,Monitor,2,400,West
2025-03-12,Keyboard,4,160,North
2025-03-12,Laptop,3,2400,North
2025-03-12,Headphones,1,60,West
2025-03-12,Monitor,1,200,East
2025-03-12,Keyboard,1,40,North
2025-03-12,Laptop,2,1600,North
2025-03-12,Monitor,2,400,West
2025-03-13,Mouse,1,25,East
2025-03-13,Mouse,4,100,South
2025-03-13,Mouse,3,75,West
2025-03-13,Mouse,4,100,East
2025-03-13,Headphones,4,240,North
2025-03-13,Phone,3,1500,North
2025-03-13,Laptop,2,1600,East
2025-03-13,Laptop,1,800,South
2025-03-13,Monitor,3,600,West
2025-03-13,Laptop,3,2400,West
2025-03-13,Phone,4,2000,West
2025-03-13,Monitor,4,800,West
2025-03-13,Keyboard,1,40,West
2025-03-13,Phone,4,2000,West
2025-03-13,Phone,4,2000,South
2025-03-13,Keyboard,2,80,West
2025-03-13,Keyboard,1,40,North
2025-03-13,Keyboard,4,160,East
2025-03-13,Monitor,3,600,North
2025-03-13,Laptop,1,800,North
2025-03-13,Keyboard,1,40,West
2025-03-13,Mouse,1,25,South
2025-03-13,Headphones,1,60,South
2025-03-13,Phone,3,1500,West
2025-03-13,Mouse,3,75,North
2025-03-13,Phone,2,1000,West
2025-03-13,Monitor,2,400,East
2025-03-13,Mouse,1,25,East
2025-03-13,Laptop,2,1600,North
2025-03-13,Phone,4,2000,East
2025-03-13,Laptop,3,2400,North
2025-03-13,Phone,3,1500,North
2025-03-14,Mouse,1,25,South
2025-03-14,Laptop,3,2400,East
2025-03-14,Laptop,1,800,West
2025-03-14,Monitor,4,800,North
2025-03-14,Mouse,3,75,North
2025-03-14,Monitor,3,600,North
2025-03-14,Mouse,1,25,North
2025-03-14,Phone,2,1000,East
2025-03-14,Laptop,1,800,South
2025-03-14,Laptop,2,1600,North
2025-03-14,Headphones,1,60,North
2025-03-14,Keyboard,2,80,North
2025-03-14,Laptop,4,3200,West
2025-03-14,Phone,4,2000,East
2025-03-14,Phone,2,1000,South
2025-03-14,Monitor,2,400,East
2025-03-14,Headphones,2,120,West
2025-03-14,Laptop,2,1600,West
2025-03-14,Mouse,2,50,South
2025-03-14,Headphones,1,60,North
2025-03-14,Mouse,1,25,South
2025-03-14,Phone,3,1500,East
2025-03-14,Monitor,4,800,West
2025-03-14,Phone,2,1000,South
2025-03-14,Phone,2,1000,South
2025-03-14,Headphones,3,180,East
2025-03-14,Phone,4,2000,North
2025-03-14,Monitor,1,200,West
2025-03-14,Keyboard,2,80,East
2025-03-14,Phone,3,1500,North
2025-03-14,Mouse,1,25,West
2025-03-14,Phone,4,2000,North
2025-03-14,Phone,1,500,West
2025-03-14,Keyboard,4,160,North
2025-03-14,Phone,2,1000,North
2025-03-14,Phone,1,500,South
2025-03-15,Headphones,4,240,East
2025-03-15,Headphones,3,180,North
2025-03-15,Headphones,2,120,West
2025-03-15,Keyboard,4,160,West
2025-03-15,Laptop,3,2400,West
2025-03-15,Headphones,3,180,North
2025-03-15,Phone,1,500,South
2025-03-15,Headphones,3,180,North
2025-03-15,Mouse,2,50,West
2025-03-15,Phone,1,500,South
2025-03-15,Mouse,2,50,North
2025-03-15,Mouse,1,25,West
2025-03-15,Phone,2,1000,South
2025-03-15,Laptop,2,1600,South
2025-03-15,Mouse,3,75,North
2025-03-15,Phone,1,500,East
2025-03-15,Laptop,2,1600,East
2025-03-15,Monitor,3,600,East
2025-03-15,Mouse,1,25,South
2025-03-15,Keyboard,1,40,West
2025-03-15,Laptop,3,2400,North
2025-03-15,Keyboard,3,120,East
2025-03-15,Monitor,2,400,South
2025-03-15,Keyboard,3,120,South
2025-03-15,Phone,1,500,South
2025-03-15,Monitor,3,600,West
2025-03-15,Headphones,3,180,East
2025-03-15,Monitor,3,600,East
2025-03-15,Keyboard,1,40,South
2025-03-15,Phone,2,1000,East
2025-03-16,Laptop,3,2400,North
2025-03-16,Keyboard,2,80,East
2025-03-16,Laptop,1,800,East
2025-03-16,Monitor,2,400,South
2025-03-16,Keyboard,1,40,North
2025-03-16,Mouse,4,100,North
2025-03-16,Keyboard,2,80,East
2025-03-16,Laptop,1,800,South
2025-03-16,Keyboard,3,120,South
2025-03-16,Phone,3,1500,West
2025-03-16,Laptop,4,3200,East
2025-03-16,Phone,1,500,North
2025-03-16,Monitor,4,800,South
2025-03-16,Phone,3,1500,West
2025-03-16,Headphones,1,60,South
2025-03-16,Mouse,1,25,North
2025-03-16,Mouse,2,50,North
2025-03-16,Monitor,2,400,East
2025-03-16,Keyboard,2,80,East
2025-03-16,Monitor,2,400,South
2025-03-16,Laptop,3,2400,East
2025-03-16,Headphones,3,180,West
2025-03-16,Mouse,4,100,West
2025-03-16,Monitor,2,400,West
2025-03-16,Keyboard,3,120,West
2025-03-16,Monitor,2,400,North
2025-03-16,Monitor,4,800,South
2025-03-16,Headphones,2,120,North
2025-03-16,Phone,3,1500,East
2025-03-16,Phone,3,1500,North
2025-03-16,Keyboard,1,40,South
2025-03-16,Phone,2,1000,West
2025-03-16,Headphones,4,240,North
2025-03-16,Keyboard,1,40,West
2025-03-16,Laptop,2,1600,South
2025-03-16,Monitor,1,200,South
2025-03-16,Headphones,3,180,West
2025-03-16,Mouse,3,75,East
2025-03-17,Monitor,2,400,West
2025-03-17,Phone,1,500,East
2025-03-17,Phone,4,2000,South
2025-03-17,Mouse,4,100,South
2025-03-17,Keyboard,1,40,East
2025-03-17,Mouse,1,25,North
2025-03-17,Laptop,3,2400,East
2025-03-17,Monitor,3,600,East
2025-03-17,Monitor,3,600,North
2025-03-17,Mouse,2,50,West
2025-03-17,Keyboard,2,80,South
2025-03-17,Mouse,4,100,East
2025-03-17,Laptop,2,1600,West
2025-03-17,Headphones,3,180,North
2025-03-17,Monitor,4,800,West
2025-03-17,Mouse,4,100,East
2025-03-17,Laptop,1,800,South
2025-03-17,Keyboard,2,80,East
2025-03-17,Mouse,1,25,North
2025-03-17,Headphones,3,180,South
2025-03-18,Laptop,1,800,South
2025-03-18,Laptop,2,1600,West
2025-03-18,Monitor,4,800,East
2025-03-18,Mouse,2,50,North
2025-03-18,Laptop,1,800,North
2025-03-18,Laptop,3,2400,East
2025-03-18,Phone,2,1000,North
2025-03-18,Headphones,3,180,East
2025-03-18,Monitor,2,400,East
2025-03-18,Headphones,4,240,South
2025-03-18,Keyboard,3,120,East
2025-03-18,Mouse,1,25,West
2025-03-18,Monitor,3,600,East
2025-03-18,Keyboard,1,40,South
2025-03-18,Laptop,1,800,North
2025-03-18,Mouse,3,75,East
2025-03-18,Laptop,2,1600,West
2025-03-18,Monitor,2,400,South
2025-03-18,Mouse,3,75,South
2025-03-18,Laptop,2,1600,South
2025-03-18,Mouse,3,75,East
2025-03-18,Keyboard,1,40,West
2025-03-18,Keyboard,4,160,East
2025-03-19,Mouse,1,25,East
2025-03-19,Keyboard,4,160,North
2025-03-19,Phone,3,1500,East
2025-03-19,Headphones,3,180,West
2025-03-19,Keyboard,2,80,East
2025-03-19,Headphones,1,60,West
2025-03-19,Headphones,2,120,South
2025-03-19,Monitor,2,400,West
2025-03-19,Phone,2,1000,East
2025-03-19,Keyboard,2,80,North
2025-03-19,Monitor,2,400,North
2025-03-19,Laptop,3,2400,West
2025-03-19,Keyboard,3,120,West
2025-03-19,Keyboard,4,160,West
2025-03-19,Keyboard,1,40,West
2025-03-19,Mouse,4,100,East
2025-03-19,Phone,1,500,West
2025-03-19,Phone,1,500,South
2025-03-19,Headphones,1,60,South
2025-03-19,Laptop,2,1600,East
2025-03-19,Laptop,2,1600,North
2025-03-19,Mouse,2,50,South
2025-03-19,Keyboard,2,80,East
2025-03-19,Laptop,1,800,East
2025-03-19,Monitor,3,600,East
2025-03-19,Mouse,3,75,North
2025-03-19,Mouse,1,25,South
2025-03-20,Laptop,1,800,South
2025-03-20,Laptop,3,2400,East
2025-03-20,Keyboard,1,40,South
2025-03-20,Headphones,2,120,South
2025-03-20,Phone,3,1500,South
2025-03-20,Headphones,1,60,West
2025-03-20,Headphones,3,180,West
2025-03-20,Headphones,3,180,South
2025-03-20,Laptop,3,2400,West
2025-03-20,Monitor,1,200,West
2025-03-20,Laptop,1,800,North
2025-03-20,Headphones,2,120,South
2025-03-20,Keyboard,2,80,North
2025-03-20,Laptop,3,2400,North
2025-03-20,Keyboard,1,40,North
2025-03-20,Keyboard,2,80,South
2025-03-20,Keyboard,3,120,North
2025-03-20,Laptop,3,2400,North
2025-03-20,Mouse,2,50,East
2025-03-20,Headphones,3,180,West
2025-03-20,Headphones,2,120,West
2025-03-20,Monitor,1,200,North
2025-03-20,Mouse,1,25,South
2025-03-20,Headphones,2,120,North
2025-03-20,Monitor,3,600,East
2025-03-20,Phone,2,1000,South
2025-03-20,Keyboard,1,40,South
2025-03-20,Monitor,2,400,East
2025-03-20,Keyboard,1,40,West
2025-03-20,Mouse,3,75,East
2025-03-20,Headphones,4,240,South
2025-03-20,Phone,3,1500,South
2025-03-20,Phone,4,2000,North
2025-03-20,Keyboard,4,160,South
2025-03-20,Mouse,4,100,North
2025-03-20,Laptop,3,2400,East
2025-03-20,Headphones,3,180,North
2025-03-20,Monitor,1,200,East
2025-03-20,Mouse,3,75,East
2025-03-21,Keyboard,3,120,West
2025-03-21,Phone,3,1500,West
2025-03-21,Monitor,4,800,West
2025-03-21,Monitor,3,600,West
2025-03-21,Keyboard,4,160,North
2025-03-21,Monitor,1,200,South
2025-03-21,Phone,3,1500,South
2025-03-21,Laptop,3,2400,North
2025-03-21,Headphones,4,240,North
2025-03-21,Headphones,4,240,North
2025-03-21,Keyboard,2,80,South
2025-03-21,Laptop,3,2400,North
2025-03-21,Keyboard,3,120,South
2025-03-21,Phone,3,1500,East
2025-03-21,Keyboard,4,160,North
2025-03-21,Mouse,2,50,West
2025-03-21,Monitor,1,200,South
2025-03-21,Mouse,4,100,East
2025-03-21,Keyboard,2,80,South
2025-03-21,Keyboard,4,160,North
2025-03-22,Monitor,4,800,East
2025-03-22,Monitor,3,600,West
2025-03-22,Laptop,2,1600,East
2025-03-22,Laptop,2,1600,North
2025-03-22,Phone,1,500,North
2025-03-22,Laptop,2,1600,South
2025-03-22,Headphones,2,120,West
2025-03-22,Phone,2,1000,North
2025-03-22,Mouse,2,50,East
2025-03-22,Mouse,3,75,South
2025-03-22,Phone,4,2000,North
2025-03-22,Phone,4,2000,North
2025-03-22,Monitor,2,400,North
2025-03-22,Mouse,1,25,South
2025-03-22,Phone,4,2000,East
2025-03-22,Mouse,2,50,South
2025-03-22,Mouse,3,75,North
2025-03-22,Monitor,3,600,West
2025-03-22,Phone,4,2000,North
2025-03-22,Laptop,1,800,East
2025-03-22,Phone,1,500,North
2025-03-22,Phone,1,500,West
2025-03-22,Monitor,2,400,South
2025-03-22,Phone,4,2000,South
2025-03-22,Headphones,1,60,East
2025-03-22,Mouse,4,100,East
2025-03-22,Phone,1,500,North
2025-03-22,Headphones,4,240,East
2025-03-22,Keyboard,1,40,East
2025-03-23,Headphones,2,120,South
2025-03-23,Monitor,2,400,North
2025-03-23,Laptop,2,1600,West
2025-03-23,Keyboard,3,120,East
2025-03-23,Keyboard,3,120,North
2025-03-23,Monitor,3,600,North
2025-03-23,Headphones,2,120,North
2025-03-23,Phone,2,1000,North
2025-03-23,Laptop,1,800,West
2025-03-23,Laptop,1,800,North
2025-03-23,Mouse,3,75,West
2025-03-23,Phone,1,500,East
2025-03-23,Headphones,3,180,South
2025-03-23,Mouse,4,100,West
2025-03-23,Headphones,2,120,South
2025-03-23,Phone,4,2000,East
2025-03-23,Mouse,4,100,East
2025-03-23,Headphones,1,60,North
2025-03-23,Laptop,2,1600,North
2025-03-23,Laptop,3,2400,West
2025-03-23,Monitor,4,800,West
2025-03-23,Headphones,4,240,East
2025-03-23,Mouse,1,25,East
2025-03-23,Mouse,2,50,West
2025-03-23,Monitor,4,800,North
2025-03-23,Phone,1,500,West
2025-03-24,Headphones,2,120,North
2025-03-24,Mouse,2,50,East
2025-03-24,Phone,4,2000,East
2025-03-24,Laptop,3,2400,South
2025-03-24,Mouse,2,50,South
2025-03-24,Monitor,3,600,North
2025-03-24,Laptop,3,2400,West
2025-03-24,Phone,3,1500,East
2025-03-24,Mouse,2,50,East
2025-03-24,Monitor,4,800,East
2025-03-24,Headphones,2,120,East
2025-03-24,Phone,3,1500,North
2025-03-24,Monitor,3,600,West
2025-03-24,Headphones,4,240,West
2025-03-24,Mouse,2,50,East
2025-03-24,Mouse,3,75,West
2025-03-24,Phone,3,1500,East
2025-03-24,Keyboard,3,120,East
2025-03-24,Laptop,4,3200,North
2025-03-24,Monitor,1,200,North
2025-03-24,Phone,1,500,West
2025-03-24,Mouse,2,50,West
2025-03-24,Monitor,2,400,East
2025-03-24,Headphones,2,120,South
2025-03-24,Monitor,3,600,East
2025-03-24,Mouse,1,25,South
2025-03-24,Headphones,3,180,East
2025-03-24,Monitor,4,800,North
2025-03-24,Monitor,1,200,North
2025-03-24,Monitor,1,200,West
2025-03-24,Laptop,4,3200,West
2025-03-24,Keyboard,3,120,North
2025-03-24,Phone,2,1000,North
2025-03-24,Keyboard,1,40,North
2025-03-25,Headphones,1,60,South
2025-03-25,Monitor,2,400,West
2025-03-25,Phone,2,1000,North
2025-03-25,Laptop,4,3200,North
2025-03-25,Mouse,2,50,East
2025-03-25,Laptop,3,2400,North
2025-03-25,Laptop,4,3200,West
2025-03-25,Keyboard,3,120,South
2025-03-25,Mouse,1,25,North
2025-03-25,Headphones,4,240,South
2025-03-25,Monitor,4,800,East
2025-03-25,Monitor,1,200,South
2025-03-25,Laptop,3,2400,West
2025-03-25,Keyboard,3,120,West
2025-03-25,Keyboard,1,40,East
2025-03-25,Monitor,1,200,East
2025-03-25,Mouse,2,50,South
2025-03-25,Headphones,2,120,North
2025-03-25,Phone,1,500,North
2025-03-25,Phone,3,1500,West
2025-03-25,Monitor,1,200,North
2025-03-25,Monitor,3,600,East
2025-03-25,Laptop,1,800,East
2025-03-25,Keyboard,2,80,North
2025-03-25,Mouse,3,75,South
2025-03-25,Headphones,2,120,South
2025-03-25,Monitor,1,200,West
2025-03-25,Headphones,4,240,East
2025-03-25,Monitor,1,200,West
2025-03-25,Mouse,3,75,North
2025-03-25,Laptop,4,3200,South
2025-03-25,Mouse,2,50,East
2025-03-25,Laptop,4,3200,East
2025-03-25,Headphones,4,240,North
2025-03-25,Laptop,3,2400,North
2025-03-25,Phone,4,2000,South
2025-03-26,Laptop,1,800,East
2025-03-26,Headphones,2,120,West
2025-03-26,Keyboard,3,120,South
2025-03-26,Headphones,1,60,West
2025-03-26,Phone,2,1000,South
2025-03-26,Mouse,4,100,West
2025-03-26,Mouse,4,100,North
2025-03-26,Mouse,1,25,South
2025-03-26,Mouse,4,100,South
2025-03-26,Mouse,3,75,South
2025-03-26,Headphones,4,240,West
2025-03-26,Phone,4,2000,East
2025-03-26,Mouse,1,25,North
2025-03-26,Monitor,4,800,East
2025-03-26,Keyboard,1,40,East
2025-03-26,Headphones,4,240,North
2025-03-26,Mouse,3,75,North
2025-03-26,Laptop,1,800,South
2025-03-26,Keyboard,3,120,East
2025-03-26,Monitor,4,800,East
2025-03-26,Mouse,3,75,North
2025-03-26,Phone,1,500,East
2025-03-26,Phone,2,1000,West
2025-03-26,Headphones,1,60,South
2025-03-26,Phone,4,2000,South
2025-03-26,Monitor,1,200,North
2025-03-26,Keyboard,3,120,South
2025-03-26,Mouse,2,50,East
2025-03-27,Laptop,1,800,West
2025-03-27,Phone,4,2000,West
2025-03-27,Mouse,3,75,West
2025-03-27,Monitor,3,600,South
2025-03-27,Phone,1,500,West
2025-03-27,Phone,3,1500,West
2025-03-27,Keyboard,3,120,South
2025-03-27,Mouse,1,25,South
2025-03-27,Keyboard,4,160,West
2025-03-27,Keyboard,2,80,West
2025-03-27,Headphones,4,240,North
2025-03-27,Keyboard,2,80,North
2025-03-27,Phone,2,1000,North
2025-03-27,Monitor,2,400,West
2025-03-27,Headphones,2,120,South
2025-03-27,Monitor,4,800,East
2025-03-27,Mouse,4,100,West
2025-03-27,Headphones,3,180,West
2025-03-27,Mouse,4,100,East
2025-03-27,Mouse,3,75,North
2025-03-27,Monitor,3,600,East
2025-03-27,Headphones,3,180,South
2025-03-27,Phone,2,1000,South
2025-03-27,Phone,1,500,West
2025-03-27,Laptop,3,2400,North
2025-03-27,Laptop,3,2400,East
2025-03-27,Mouse,1,25,East
2025-03-27,Keyboard,4,160,South
2025-03-27,Monitor,4,800,South
2025-03-27,Headphones,3,180,East
2025-03-27,Laptop,2,1600,West
2025-03-27,Keyboard,1,40,North
2025-03-27,Mouse,3,75,West
2025-03-27,Monitor,3,600,North
2025-03-27,Mouse,3,75,East
2025-03-27,Laptop,2,1600,West
2025-03-28,Phone,1,500,East
2025-03-28,Laptop,1,800,West
2025-03-28,Keyboard,2,80,East
2025-03-28,Keyboard,4,160,East
2025-03-28,Keyboard,2,80,North
2025-03-28,Laptop,1,800,North
2025-03-28,Headphones,2,120,South
2025-03-28,Keyboard,3,120,East
2025-03-28,Mouse,4,100,West
2025-03-28,Mouse,4,100,West
2025-03-28,Phone,3,1500,West
2025-03-28,Monitor,3,600,North
2025-03-28,Monitor,2,400,East
2025-03-28,Laptop,2,1600,West
2025-03-28,Keyboard,4,160,North
2025-03-28,Monitor,4,800,North
2025-03-28,Keyboard,3,120,South
2025-03-28,Monitor,1,200,North
2025-03-28,Phone,4,2000,West
2025-03-28,Headphones,4,240,North
2025-03-28,Laptop,4,3200,North
2025-03-28,Phone,2,1000,West
2025-03-28,Phone,2,1000,East
2025-03-28,Monitor,4,800,East
2025-03-28,Mouse,1,25,North
2025-03-29,Laptop,4,3200,East
2025-03-29,Monitor,3,600,West
2025-03-29,Laptop,1,800,West
2025-03-29,Laptop,2,1600,West
2025-03-29,Monitor,2,400,West
2025-03-29,Keyboard,1,40,South
2025-03-29,Phone,4,2000,North
2025-03-29,Phone,1,500,North
2025-03-29,Laptop,1,800,South
2025-03-29,Laptop,1,800,West
2025-03-29,Phone,2,1000,East
